city,latitude,longitude,post_code,timezone,minimum_delivery_time,minimum_order_amount,minimum_pickup_time,name,rating,review_number,review_with_comment_number,vertical,vertical_parent,delivery_provider,is_active,is_new,is_promoted,dine_in,main_cuisine
Karachi,24.8222202,67.0635207,75300,Asia/Karachi,17015,0,5,Bismillah Chicken & Vegetables,0.0,0,0,fruits_and_vegetables,Shop,platform_delivery,True,False,False,False,
Karachi,24.8990278,67.1905833,75100,Asia/Karachi,17050,0,10,Anaayan's Kitchen,4.8,16,0,restaurants,Restaurant,platform_delivery,True,True,False,False,Pakistani
Karachi,24.82403,67.0619606,74600,Asia/Karachi,17025,0,20,Crispies by Chef Ayra,3.4,74,0,restaurants,Restaurant,platform_delivery,True,True,False,False,Pakistani
Karachi,24.9888426,67.3045603,75340,Asia/Karachi,0,0,15,Rehmat Sweets and Bakers,4.2,19,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Cakes & Bakery
Karachi,24.818266,67.118955,74600,Asia/Karachi,0,0,15,Mashallah  Foods,3.5,176,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Pakistani
Karachi,24.8762375,67.1802663,75050,Asia/Karachi,0,0,15,Pak Islam Ice-Cream,3.2,12,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Desserts
Karachi,24.85659145,67.0159652,75500,Asia/Karachi,17010,0,15,Karachi Fried House,3.9,269,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Burgers
Karachi,24.8132947,67.0484003,75500,Asia/Karachi,17020,0,15,Hanifia - Dha,4.2,2069,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Fast Food
Karachi,24.9646079,67.0594103,00000,Asia/Karachi,17030,0,15,The Pakistani Kitchen,4.3,44,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Pakistani
Karachi,24.9576547,67.1189808,758500,Asia/Karachi,0,0,15,Kun Fast Food Pizza & Chargah,4.2,9,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Fast Food
Karachi,24.9304187,67.1405379,75400,Asia/Karachi,0,0,15,Sheikh biryani and haleem centre,3.6,10,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Pakistani
Karachi,24.8855906,67.0358354,75260,Asia/Karachi,0,0,15,Al Madina Pakwan & Biryani Center,3.1,15,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Pakistani
Karachi,24.9099257,67.1254761,75230,Asia/Karachi,0,0,15,Hot Sauce Pizza,4.0,1,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Pizza
Karachi,24.8772633,67.1695269,75400,Asia/Karachi,17040,0,10,Picky Pickers Veggies,0.0,0,0,fruits_and_vegetables,Shop,platform_delivery,True,False,False,False,
Karachi,24.83592194,67.07276604,75500,Asia/Karachi,17030,0,15,Mama's Foods,3.5,105,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Pakistani
Karachi,24.8671506,67.0360193,74400,Asia/Karachi,0,0,15,Yaadgar Halwa Puri,4.3,1398,0,restaurants,Restaurant,platform_delivery,True,False,False,False,
Karachi,31.49562444,74.40963323,75600,Asia/Karachi,0,0,15,Ali Vegetables,0.0,0,0,fruits_and_vegetables,Shop,platform_delivery,True,True,False,False,
Karachi,24.9525556,67.1389444,75290,Asia/Karachi,17035,0,5,Ice Cream City Falooda & Juice,4.1,19,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Desserts
Karachi,24.9385375,67.0111177,74500,Asia/Karachi,17010,0,5,Mustafa shermal & nihari house,3.8,125,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Pakistani
Karachi,24.999387,67.0658405,0000,Asia/Karachi,0,0,15,Pizza Shizza,2.6,19,0,restaurants,Restaurant,platform_delivery,True,True,False,False,Fast Food
Karachi,24.91834975,67.13200281,75290,Asia/Karachi,0,0,15,Mr. Chinese,0.0,0,0,restaurants,Restaurant,platform_delivery,True,True,False,False,Chinese
Karachi,24.81178415,67.0501479,75500,Asia/Karachi,17010,0,5,Peshawari Ice Cream- khada market,4.2,49,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Desserts
Karachi,24.8166193,67.1082564,75190,Asia/Karachi,0,0,12,Roll n Spicy,4.1,1093,0,restaurants,Restaurant,platform_delivery,True,False,False,False,
Karachi,24.9400258,67.05095635,75500,Asia/Karachi,0,0,15,Zam zam arab shawarma,4.2,118,0,restaurants,Restaurant,platform_delivery,True,False,False,False,
Karachi,24.956691,67.062667,75500,Asia/Karachi,17025,0,10,Pizza Studio,4.1,3876,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Pizza
Karachi,24.9094636,67.12142435,75290,Asia/Karachi,17030,0,5,Chatkharay Gol Gappay,4.1,1895,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Savouries
Karachi,24.9268495,67.0943117,74600,Asia/Karachi,17030,0,10,Hot Plato,3.4,82,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Pakistani
Karachi,24.92222619,67.13450958,74600,Asia/Karachi,0,0,12,Kitchen Apka,4.1,800,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Pakistani
Karachi,24.9395131,67.08161892,74600,Asia/Karachi,0,0,15,Sufyan Sweets Bakers And Nimco,3.9,9,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Cakes & Bakery
Karachi,24.896667,67.056861,74800,Asia/Karachi,17020,0,10,Syeda Home Kitchen,5.0,1,0,restaurants,Restaurant,platform_delivery,True,True,False,False,Pakistani
Karachi,24.94805482,67.10144308,74600,Asia/Karachi,0,0,15,Paratha Corner,3.8,228,0,restaurants,Restaurant,platform_delivery,True,True,False,False,Pakistani
Karachi,24.9003471,67.0841524,75300,Asia/Karachi,0,0,15,Zaiqedaar by Chef Sana,5.0,1,0,restaurants,Restaurant,platform_delivery,True,True,False,False,Pakistani
Karachi,24.81541616,67.07027631,75500,Asia/Karachi,17015,0,5,MUNCHIES,1.0,1,0,mini_market,Shop,platform_delivery,True,False,False,False,
Karachi,24.91005385,67.12981955,75290,Asia/Karachi,0,0,15,Clockwise Pizzeria,4.1,154,0,restaurants,Restaurant,platform_delivery,True,False,False,False,
Karachi,24.9194141,67.1326851,75500,Asia/Karachi,17040,0,10,Riwayat Caterers- Gulistan Branch,3.6,139,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Burgers
Karachi,24.8243143,67.0814758,000,Asia/Karachi,17020,0,10,Mano Salwa,4.3,11,0,restaurants,Restaurant,platform_delivery,True,True,False,False,Pakistani
Karachi,24.9064183,67.116013,75950,Asia/Karachi,0,0,15,Mama Chai Junction,3.8,110,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Pakistani
Karachi,24.826203,67.0449453,75500,Asia/Karachi,0,0,15,Al Fajar foods,3.5,416,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Fast Food
Karachi,24.9301065,67.04957035,74600,Asia/Karachi,0,0,15,Pizza Panda - North Nazimabad,3.3,256,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Pizza
Karachi,24.797543,67.044525,75500,Asia/Karachi,0,0,12,Hot & Crispy,4.2,2695,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Fast Food
Karachi,24.840148,67.075006,75500,Asia/Karachi,17025,0,15,Amsterdam pizza,3.5,153,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Pizza
Karachi,24.84988606,67.00719004,74400,Asia/Karachi,17010,0,10,New Quetta Al-Mehfil Restaurant,2.7,14,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Pakistani
Karachi,24.99691868,67.05455129,71500,Asia/Karachi,0,0,15,New Fine Oil TRD,0.0,0,0,specialty_and_ethnic,Shop,platform_delivery,True,False,False,False,
Karachi,24.9718921,67.0589414,75850,Asia/Karachi,0,0,15,Eat Well Fast Food,0.0,0,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Fast Food
Karachi,24.84127611,67.16571297,74900,Asia/Karachi,17040,0,10,Foodies,3.4,17,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Fast Food
Karachi,25.0040625,67.0640625,75850,Asia/Karachi,0,0,15,Maa Dairy Farm-North Karachi,4.3,64,0,specialty_and_ethnic,Shop,platform_delivery,True,False,False,False,
Karachi,24.91150745,67.0498185,75000,Asia/Karachi,17015,0,5,Allah wala pakwan and sheermal house,4.2,227,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Pakistani
Karachi,24.9290365,67.07571835,74000,Asia/Karachi,17020,0,5,New Delhi islam Restuarent and Nihari House,4.0,33,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Pakistani
Karachi,24.8375703,67.03326045,75500,Asia/Karachi,17015,0,10,Super Burger Fast Food & Bar B Q,4.2,4432,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Pakistani
Karachi,24.8312341,67.041939,72000,Asia/Karachi,17010,0,10,Fresh Medical,0.0,0,0,health_and_wellness,Shop,platform_delivery,True,False,False,False,
Karachi,24.9384856,67.0520013,74600,Asia/Karachi,17025,0,15,Chicago Burger Factory - North Nazimabad,3.9,13,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Burgers
Karachi,24.83069263,67.06925987,75460,Asia/Karachi,17020,0,10,Pizza Bite,3.6,146,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Pizza
Karachi,24.7924081,67.06552175,75500,Asia/Karachi,0,0,15,Chatoraay,5.0,1,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Pakistani
Karachi,24.9093253,67.131412,75500,Asia/Karachi,17035,0,5,Karachi Sheermal house,3.8,36,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Pakistani
Karachi,24.9289057,67.0971167,75300,Asia/Karachi,17025,0,5,Islamabad Dry Fruits & Herbals,0.0,0,0,snacks_and_sweets,Shop,platform_delivery,True,False,False,False,
Karachi,24.837488,67.033595,75230,Asia/Karachi,17015,0,10,Biryani of the Seas,4.0,2082,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Pakistani
Karachi,24.9052452,67.1143817,75290,Asia/Karachi,0,0,15,Crispy Broast Gulshan,4.0,78,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Burgers
Karachi,24.8734208,67.0356493,74400,Asia/Karachi,0,0,15,Molten Heavens,2.7,13,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Desserts
Karachi,24.859524,67.054119,75400,Asia/Karachi,17015,0,10,Younus Halwa Puri & Fast Food,3.4,14,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Fast Food
Karachi,24.829581,67.068949,75500,Asia/Karachi,17015,0,5,Pebbles,4.4,608,0,restaurants,Restaurant,platform_delivery,True,False,False,False,
Karachi,24.92436335,67.1762112,75050,Asia/Karachi,0,0,15,Al Dost Chicken Biryani & Pakwan Centre,4.0,37,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Pakistani
Karachi,24.843717,67.0392732,74400,Asia/Karachi,0,0,15,The Station,3.7,376,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Pakistani
Karachi,24.9156371,67.05903005,75950,Asia/Karachi,0,0,12,Ghousia Ice Cream Parlour & Continental Food,4.1,1853,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Desserts
Karachi,24.87821137,67.06649243,75100,Asia/Karachi,17020,0,10,No Lies Fries - PECHS,3.9,16,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Fast Food
Karachi,24.79874144,67.04786068,74600,Asia/Karachi,17010,0,5,Slice of Life,4.4,151,0,bakery,Shop,platform_delivery,True,False,False,False,
Karachi,24.82818755,67.03557595,75500,Asia/Karachi,17010,0,10,Vape & Co - Clifton,5.0,1,0,electronics,Shop,platform_delivery,True,False,False,False,
Karachi,24.8430833,67.0496389,74600,Asia/Karachi,0,0,15,Farhan's Pizzeria,3.9,97,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Italian
Karachi,24.9081197,67.1359817,75290,Asia/Karachi,17035,0,5,Al Haram Foods,4.3,1239,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Pakistani
Karachi,24.9054262,67.02796095,74600,Asia/Karachi,0,0,20,Desi Bites Chicken Shawarma- Nazimabad,4.3,1336,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Pizza
Karachi,24.8654211,67.0257653,74400,Asia/Karachi,17015,0,10,Amma Juice Centre,3.6,5,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Healthy Food
Karachi,24.8613762,67.0515079,74600,Asia/Karachi,17020,0,15,MOTHER KITCHEN,4.2,825,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Pakistani
Karachi,24.935122,67.0467002,74600,Asia/Karachi,17015,0,5,Lazzat Pakwan House,4.2,836,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Pakistani
Karachi,24.89147733,67.17379283,75500,Asia/Karachi,0,0,15,Usman Fast Food,4.0,3,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Fast Food
Karachi,24.8606928,67.032122,74400,Asia/Karachi,17015,0,10,Jan Jee Food,3.5,53,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Pakistani
Karachi,24.90423712,67.01662836,74000,Asia/Karachi,0,0,15,Companion - Warehouse,0.0,0,0,convenience,Shop,platform_delivery,True,False,False,False,
Karachi,24.8904956,67.1735694,0000,Asia/Karachi,17045,0,10,The Chinese Treats,4.1,102,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Chinese
Karachi,24.8460665,67.0516123,75600,Asia/Karachi,0,0,15,Crazy Pizza,3.6,166,0,restaurants,Restaurant,platform_delivery,True,True,False,False,Pizza
Karachi,24.862756,67.05552,75500,Asia/Karachi,17020,0,10,Kekou,4.0,1216,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Chinese
Karachi,24.9453866,67.0971001,0000,Asia/Karachi,17040,0,20,Fatmians Kitchen,4.1,227,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Pakistani
Karachi,24.8533336,67.07225596,75460,Asia/Karachi,0,0,15,Mr Soda,4.2,30,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Beverages
Karachi,24.9726543,67.06708375,75300,Asia/Karachi,0,0,15,The Big buy - UP mor,0.0,0,0,groceries,Shop,platform_delivery,True,False,False,False,
Karachi,24.92867465,67.12592245,75290,Asia/Karachi,17045,0,15,Maroof foods,4.0,623,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Pakistani
Karachi,24.831293,67.0420075,75500,Asia/Karachi,17015,0,10,All Time Medical Store,4.0,4,0,health_and_wellness,Shop,platform_delivery,True,False,False,False,
Karachi,24.891495,67.1970429,75050,Asia/Karachi,0,0,15,Harmain Food Centre - Jinnah Square,3.6,31,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Pakistani
Karachi,24.8823579,67.0657913,75400,Asia/Karachi,0,0,15,Crescent Soda Corner,4.6,32,0,restaurants,Restaurant,platform_delivery,True,False,False,False,
Karachi,24.882939,67.06594595,75100,Asia/Karachi,0,0,15,The Rolls & Roffles,4.5,20,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Desserts
Karachi,24.8829892,67.0903759,75400,Asia/Karachi,0,0,12,Kundan Broast Karsa,4.1,1064,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Fast Food
Karachi,24.8238702,67.0357923,75300,Asia/Karachi,17020,0,15,Furor - Ocean Mall,0.0,0,0,fashion,Shop,platform_delivery,True,False,False,False,
Karachi,24.91538765,67.05728755,75950,Asia/Karachi,0,0,20,Ghousia Golden Spoon - Hussainabad,4.1,2185,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Fast Food
Karachi,24.8168348,67.0437724,75000,Asia/Karachi,0,0,15,WOW Burgers,4.3,16,0,restaurants,Restaurant,platform_delivery,True,True,False,False,Pakistani
Karachi,24.9628833,67.1457332,75290,Asia/Karachi,17050,0,15,The Royal Bites,4.1,185,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Pakistani
Karachi,24.88688164,67.17605251,75500,Asia/Karachi,0,0,15,Smoky Pizza & Pasta,4.0,73,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Italian
Karachi,24.8602999,67.0643598,75400,Asia/Karachi,17015,0,5,Faisal Sweets - PECHs,4.3,1622,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Cakes & Bakery
Karachi,24.851135,67.01611235,75330,Asia/Karachi,17010,0,10,Dua Burger Point,3.6,170,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Burgers
Karachi,24.8853211,67.06350415,75400,Asia/Karachi,0,0,15,Lamosh Burger & Pizza - Sharfabad,4.2,2012,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Burgers
Karachi,24.7994808,67.04460733,0477,Asia/Karachi,17015,0,10,Spice - Badar Commercial,4.3,995,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Chinese
Karachi,24.9138148,67.0265353,74600,Asia/Karachi,0,0,15,Mr shawarma,3.3,301,0,restaurants,Restaurant,platform_delivery,True,False,False,False,
Karachi,24.85988632,67.06885517,76290,Asia/Karachi,0,0,15,Alamgir Welfare Trust- KHI,0.0,0,0,specialty_and_ethnic,Shop,vendor_delivery,True,False,False,False,
Karachi,24.94793891,67.13192224,75300,Asia/Karachi,17035,0,5,Ghazi Pakwan & Biryani Centre,3.4,142,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Biryani
Karachi,24.7953455,67.0504359,75500,Asia/Karachi,17010,0,5,COCO 9 - DHA,4.4,481,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Desserts
Karachi,24.751189,67.0726413,54000,Asia/Karachi,0,0,15,Foody Kitchen,0.0,0,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Fast Food
Karachi,24.81870915,67.11380475,74900,Asia/Karachi,0,0,15,Reen's Kitchen,3.7,18,0,restaurants,Restaurant,platform_delivery,True,True,False,False,Fast Food
Karachi,24.7980157,67.0451544,75500,Asia/Karachi,0,0,12,Bundoo Khan,4.2,2338,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Pakistani
Karachi,24.9301065,67.0495632,74600,Asia/Karachi,0,0,15,Zizzi Pizzeria - North Nazimabad,3.3,282,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Pizza
Karachi,24.78128125,67.05610585,75500,Asia/Karachi,0,0,12,Tau's,4.2,292,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Pakistani
Karachi,24.831906,67.0431841,75500,Asia/Karachi,17045,0,40,Midway Pizza,3.0,76,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Pizza
Karachi,24.83638773,67.06759589,74400,Asia/Karachi,17020,0,10,Authentic Burmese Khaousa,4.4,74,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Pakistani
Karachi,24.9145547,67.024839,74600,Asia/Karachi,17010,0,5,Moti dana - Nazimabad,4.9,29,0,specialty_and_ethnic,Shop,platform_delivery,True,False,False,False,
Karachi,24.98569755,67.0608961,75850,Asia/Karachi,0,0,15,Merkato Mix - New Karachi,3.7,30,0,supermarket,Shop,platform_delivery,True,False,False,False,
Karachi,24.92923018,67.03639281,74600,Asia/Karachi,0,0,15,Backyard Grill,4.4,415,0,restaurants,Restaurant,platform_delivery,True,False,False,False,
Karachi,24.9104639,67.1058795,75300,Asia/Karachi,17025,0,5,Khaas Biryani Center,3.8,659,0,restaurants,Restaurant,platform_delivery,True,False,False,False,
Karachi,24.9113345,67.1105118,75300,Asia/Karachi,0,0,15,Nagori Mart,0.0,0,0,convenience,Shop,platform_delivery,True,False,False,False,
Karachi,24.831671,67.067756,75500,Asia/Karachi,17020,0,10,Madina Nashist Hotel,4.4,3094,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Pakistani
Karachi,25.02928055,67.3092899,75340,Asia/Karachi,17085,0,15,Casa De Artes,3.6,168,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Chinese
Karachi,24.8179298,67.0474744,0000,Asia/Karachi,17020,0,15,Cafe Bistro,3.0,59,0,restaurants,Restaurant,platform_delivery,True,True,False,False,Burgers
Karachi,25.0291591,67.30926245,75340,Asia/Karachi,17080,0,10,Cafe Midway,3.9,330,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Pakistani
Karachi,24.9101573,67.10162345,74600,Asia/Karachi,17030,0,10,Grand Father Pizza,3.9,226,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Pizza
Karachi,24.8618033,67.0808673,75400,Asia/Karachi,17025,0,10,Fresh Bar,4.4,669,0,restaurants,Restaurant,platform_delivery,True,False,False,False,
Karachi,24.8318243,67.0709174,7856777,Asia/Karachi,17020,0,10,Khausey Extreme,4.7,24,0,restaurants,Restaurant,platform_delivery,True,True,False,False,Pakistani
Karachi,24.83516979,67.0368116,75500,Asia/Karachi,17010,0,5,FRESCO SWEETS - CLIFTON,4.4,5,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Pakistani
Karachi,24.8334692,67.067186,75500,Asia/Karachi,17025,0,15,Oh My Waffle,3.8,12,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Desserts
Karachi,24.8831143,67.1400687,54000,Asia/Karachi,0,0,12,Aminia Foods Sweets and Bakers,4.2,748,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Pakistani
Karachi,24.98778765,67.0659266,75850,Asia/Karachi,0,0,15,Shuru Balochi Sajji,4.0,320,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Pakistani
Karachi,24.7932374,67.0634861,75500,Asia/Karachi,17020,0,10,J.B.SAEED,0.0,0,0,home_and_gifts,Shop,platform_delivery,True,False,False,False,
Karachi,24.92232165,67.07649365,75950,Asia/Karachi,17035,0,20,Italian Feast,3.8,71,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Pakistani
